SMILES,CLUSTER
Nc1ccccc1-c1nnc(C(=O)NC2CCCCNC2=O)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCCN2CCNC2=O)o1,1.2
Nc1ccccc1-c1nnc(C(=O)NCc2cccc(-n3cccn3)c2)o1,1.1.2
COc1cc(CNC(=O)c2nnc(-c3ccccc3N)o2)cc(OC)c1OC,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2CCNCC2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCCCn2ccnc2)o1,1.1.2
O=C(Nc1ccc(N=Nc2ccccc2)cc1)c1cccc(Cl)c1,1.3
Cc1ccc(Cl)cc1NC(=O)CCC(=O)Nc1cc(Cl)ccc1C,1.1.4
Cc1sc(NC(=S)NC(=O)C2CCCCC2)c(C(N)=O)c1C,3.0
COc1ccc(C=NNC(=O)c2ccc(Br)cc2)cc1Cn1cc(Cl)cn1,1.1.3
Cc1ccc(C(=O)Nc2nc(-c3cc(Cl)sc3Cl)cs2)cc1,1.3
c1ccc(-c2cc3c(NCC4COc5ccccc5O4)ncnc3s2)cc1,1.1.1
CCN(Cc1ccccc1)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccc(Cl)cc12,1.1.3
COc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2NCc2ccc3c(c2)OCO3)cc1,1.2
C=C(C)CSc1cc(N)c(C#N)c(-c2ccc(C)cc2)c1C#N,1.1.1
CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNCC(O)COc3ccc(O)cc3)cc2)cc1,1.3
N#Cc1c(-c2ccccc2)cc(-c2ccco2)c(C#N)c1N,1.1.2
O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCCCC3)cc2)cs1)c1cccs1,1.1.1
CCSc1nnc(NC(=O)c2ccc(Br)s2)s1,1.1.1
O=C(Cn1c(=O)oc2ccccc21)Nc1oc(-c2ccccc2)c(-c2ccccc2)c1O,1.1.6
O=C(Nc1nc(-c2cccs2)cs1)c1ccc(S(=O)(=O)N2CCCC2)cc1,1.2
O=C(COC(=O)c1cccc(Oc2ccccc2)c1)Nc1nnc(-c2ccccc2)o1,1.1.2
Cn1c(C(C#N)C(=O)c2sc3ccccc3c2Cl)nc2ccccc21,1.1.3
Oc1cc(-c2ccc(Cl)c(Cl)c2)[nH]n1,2.0
O=C(Nc1nc(-c2cccc(Br)c2)cs1)Oc1ccccc1,1.1.1
Cc1cc(NC(=O)Cc2cccs2)no1,1.1.2
CCc1ccc(C(=O)CSC2=C(C#N)C(c3ccco3)C(C(C)=O)=C(C)N2)cc1,1.1.2
O=C(CSc1nnc(-c2ccccc2)o1)N1CCN(c2ccccc2)CC1,1.1.2
Cc1cccc(NS(=O)(=O)c2ccc(C)c(C(=O)OCC(=O)Nc3cc(C)on3)c2)c1,1.1.2
O=C(COC(=O)c1cc(-c2ccco2)nc2ccccc12)NCc1ccc2c(c1)OCO2,1.2
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,1.1.2
CCCCCC=CCC=CCC=CCC=CCCCC(=O)Nc1ccc(O)cc1,1.3
COC(=O)c1ccc(-c2nc(-c3ccc(Br)o3)no2)cc1,1.1.6
Cc1cc(NC(=O)c2cc(CC(C)C)on2)no1,1.1.6
Cc1ccc(NC(=O)CSC(N)=O)cc1Cl,1.1.3
NC(=O)SCC(=O)Nc1cccc(Cl)c1,1.1.3
C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12,2.0
O=[N+]([O-])c1ccccc1S(=O)(=O)NCC1CCC(CNCC2CCc3ccccc3C2)CC1,1.1.1
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1.3
CCn1ccnc1C(O)c1cccc(OC)c1OC,1.1.1
Cc1cc(=O)oc2cc(OCC#N)ccc12,1.1.2
COc1ccc(C(=O)Nc2nncs2)c(OC)c1,1.1.1
O=C(c1ccccc1)c1cn(CC(=O)N2CCCC2)c2ccccc12,1.2
Cc1ccc(-c2csc(NC(=O)c3ccno3)n2)cc1,1.1.2
Cn1cnnc1SCC(=O)Nc1sc2c(c1C(N)=O)CCC2,1.1.1
O=C(CS[n+]1cc(-c2ccc(F)cc2)cs1)NC(=O)NCc1ccco1,1.1.2
O=C(CSCc1ccc(Cl)cc1)c1ccco1,1.1.5
Cc1nc(-c2ccccc2)sc1C(=O)NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1,1.3
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1.1.1
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1.1.1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,2.0
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,1.1.3
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1.1.3
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,1.3
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,1.1.3
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,1.3
Cc1c(C)c2c(c(C)c1OC(=O)c1cccnc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.3
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,1.3
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,2.0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1.1.3
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1.3
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1.1.3
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1.3
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,1.1.1
O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,2.0
CC(NC(=O)c1ccccc1Cl)C(=O)OC(C(=O)Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1,1.3
Cc1cc(NC(=O)COC(=O)C(Cc2ccccc2)NC(=O)c2ccco2)no1,1.1.6
COCCn1c(C)cc(C(=O)COC(=O)CNC(=O)c2ccccc2)c1C,1.1.1
O=S(=O)(Cc1ccccc1)NCB(O)O,1.3
O=C(O)c1ccc(CS(=O)(=O)NCB(O)O)cc1,1.3
Cc1ccc(SCC=NN=C2NC(=O)C(C)S2)cc1,1.2
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)C1(c2ccccc2)CC1,1.3
O=C(C=Cc1ccccc1)NN=Cc1ccccc1O,1.1.1
O=C(C=Cc1ccc2c(c1)OCO2)NN=Cc1ccccc1O,1.2
COc1cc(C=NNC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)cc([N+](=O)[O-])c1O,1.1.1
COc1cc(C=CC(=O)NN=Cc2ccccc2O)cc([N+](=O)[O-])c1OC,1.1.1
COc1cc(C=NNC(=O)C=Cc2cc(OC)c(OC)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,1.1.1
O=C(CCc1ccccc1)NN=Cc1ccccc1O,1.1.1
O=C(C=Cc1ccc2c(c1)OCO2)c1ccc(Br)cc1,1.2
CC(COc1ccccc1)=NNc1nc(-c2ccccc2)cs1,1.1.1
CCC1SC(=NN=C(C)COc2ccccc2)N(C)C1=O,1.2
CC(COc1ccccc1)=NN=C1NC(=O)C(C(C)C)S1,1.2
CCC1SC(=NN=C(C)COc2ccccc2)NC1=S,3.0
CCC1SC(=NN=C(C)COc2ccccc2)N(c2ccc(C)cc2)C1=O,1.2
CC(COc1ccccc1)=NN=C1SC(C)C(=O)N1c1ccccc1,1.2
CC(COc1ccccc1)=NN=C1SCC(=O)N1c1ccccc1,1.2
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.1.2
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1.1.2
O=C(NC(=S)Nc1ccc(O)cc1)c1sc2ccccc2c1Cl,3.0
CSc1cccc(NC(=O)Nc2sc3ccccc3c2Cl)c1,1.3
CCCc1c(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cnn1-c1ccc(Cl)cc1,1.3
O=C(COc1ccccc1)NCCc1nc2ccccc2[nH]1,2.0
N#Cc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccccc1[N+](=O)[O-])NCCc1nc2ccccc2[nH]1,2.0
O=Cc1c(OCC(=O)NCCc2nc3ccccc3[nH]2)ccc2ccccc12,2.0
O=C(COc1ccc2ccccc2c1CO)NCCc1nc2ccccc2[nH]1,2.0
O=C(CCc1ccccc1Br)NCCc1nc2ccccc2[nH]1,2.0
O=C(CSc1ccccc1)NCCc1nc2ccccc2[nH]1,2.0
C=CCCn1c(CCNC(=O)COc2ccccc2Cl)nc2ccccc21,1.1.3
Cc1c(C=NNC(=O)c2ccc([N+](=O)[O-])cc2)no[n+]1[O-],1.1.2
O=C(NN=Cc1c(-c2ccccc2)no[n+]1[O-])c1ccc([N+](=O)[O-])cc1,1.1.2
Cc1ccc(SCCC=NNC2=NC(=O)C(C)S2)cc1,1.2
CC(C)=CCc1cc(CCC(=O)c2c(O)cc3c(c2O)CCC(C)(C)O3)ccc1O,1.1.1
CC1(C)CCc2cc(CCC(=O)c3c(O)cc4c(c3O)CCC(C)(C)O4)ccc2O1,1.1.1
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NC(=O)c2ccncc2)C(C)C)nn1,1.3
C=CCn1c(C)c(C(=O)OCC)sc1=Nc1sc2c(c1C(=O)OCC)CCCC2,1.1.1
CCOC(=O)c1c(N=C2SC(CC(=O)O)C(=O)N2c2ccccc2)sc2c1CCCC2,1.2
C=CCN1C(=O)C(CC(=O)O)SC1=Nc1sc2c(c1C(=O)OCC)CCCC2,1.2
C=CCN1C(=O)C(CC(=O)O)SC1=Nc1sc2c(c1C(=O)OC(C)C)CCCC2,1.2
Clc1ccc2c(NCCCN3CCOCC3)ccnc2c1,1.1.3
Clc1ccc2c(NCCN3CCOCC3)ccnc2c1,1.1.3
OCCNc1ccnc2cc(Cl)ccc12,1.1.3
OCCCNc1ccnc2cc(Cl)ccc12,1.1.3
Clc1ccc2c(NCc3ccccc3)ccnc2c1,1.1.3
Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,2.0
NC1=NS(=O)(=O)Nc2nc(C3CCCCC3)[nH]c21,2.0
NC1=NS(=O)(=O)Nc2nc(Cc3ccccc3)[nH]c21,2.0
NC1=NS(=O)(=O)N(Cc2ccc(Cl)cc2)c2nc(-c3ccccc3F)[nH]c21,2.0
NC1=NS(=O)(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)n(Cc3ccccc3)c21,1.1.1
CC(=O)Oc1ccc(C2Oc3cc(OC(C)=O)cc(O)c3C(=O)C2c2c(OC(C)=O)cc(O)c3c(=O)cc(-c4ccc(OC(C)=O)c(OC(C)=O)c4)oc23)cc1,1.3
COc1ccc(C2Oc3cc(OC)cc(O)c3C(=O)C2c2c(OC)cc(O)c3c(=O)cc(-c4ccc(OC)c(OC)c4)oc23)cc1,1.3
Nc1c(C2=NCCN2)cnn1-c1cc(Cl)cc(Cl)c1,1.2
Nc1c(C2=NCCN2)cnn1-c1ccc(Cl)c(Cl)c1,1.2
NC(=S)NN=CCSc1cccc(Cl)c1,3.0
Cn1c(=O)n(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc21,1.1.3
Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,1.1.5
CCC(=NNc1nc(-c2ccccc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(C)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(F)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1cccc(Br)c1,1.3
CCC(=NNc1nc(-c2ccc(Cl)cc2Cl)cs1)c1cccc(Br)c1,1.3
CC(C)=CCC1=C(O)c2ccccc2C(=NNC(N)=S)C1=O,3.0
CC(C)=CCC1=C(O)c2ccccc2C(=NNC(=O)c2ccncc2)C1=O,1.1.1
OCCCNc1nc(NCc2ccccc2)c2ccccc2n1,1.1.1
Oc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1.1.1
Oc1cccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)c1,1.1.1
c1ccc(CNc2nc(Nc3nccs3)nc3ccccc23)cc1,1.1.1
OCCCNc1nc(Nc2cccc(F)c2)c2ccccc2n1,1.1.1
O=C(c1ccc(Nc2nc(NCCCO)c3ccccc3n2)cc1)N1CCOCC1,1.1.1
O=C(c1ccc(Nc2nc(NCCN3CCOCC3)c3ccccc3n2)cc1)N1CCOCC1,1.3
COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1.1.1
c1ccc(Nc2nc(Nc3ccccc3)c3ccccc3n2)cc1,1.1.1
